Name,"Team","Position","DateStart","DateEnd","NumberOfGames","Minutes","Goal","Assist","ChanceAssist","KeyPass","KeyLoss","DuelLossInBox","DuelLossOutBox","MissBlockShot","RescueAction","Finalization","KeyIndividualAction","KeyRecover","DuelWinInBox","BlockShot","PktOff","PktDef"
Jakub Wilczek (06),C2,LŚO,2025-09-29,2025-09-30,1,90,0,2,0,0,0,0,-1,0,0,0,0,0,4,0,2,3
Jakub Wilczek (06),C2,LŚO,2025-10-04,2025-10-05,1,60,0,0,0,0,0,0,-1,0,0,0,0,0,2,0,0,1
Jakub Wilczek (06),C2,LŚO,2025-10-11,2025-10-12,1,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jakub Wilczek (06),C2,LŚO,2025-10-18,2025-10-19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jakub Wilczek (06),C2,LŚO,2025-10-25,2025-10-26,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jakub Wilczek (06),C2,LŚO,2025-11-14,2025-11-16,1,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jakub Wilczek (06),C2,LŚO,2025-11-29,2025-11-30,1,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jakub Wilczek (06),C2,LŚO,2025-12-06,2025-12-07,1,45,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,3
Jakub Wójkiewicz (09),U-17,LW/PW,2025-09-20,2025-09-21,1,72,0,0,0,2,0,0,-1,0,0,0,0,0,0,0,2,-1
Jakub Wójkiewicz (09),U-17,PW/LW,2025-09-29,2025-09-30,1,45,0,0,0,2,0,0,0,0,0,0,0,0,2,1,2,3
Jakub Wójkiewicz (09),U-17,LW/PW,2025-10-04,2025-10-05,1,65,3,0,0,0,0,0,0,0,0,2,2,0,0,0,7,0
Jakub Wójkiewicz (09),U-17,LW/PW,2025-10-11,2025-10-12,1,80,0,2,0,0,0,0,0,0,0,1,0,0,0,0,3,0
